	SubjectID1	SubjectID2	Group1	Group2	Distance
39	DSS1	ZCAh5	DSS	ZCAh	0.3924864864864865
40	DSS2	ZCAh1	DSS	ZCAh	0.38791891891891894
41	DSS2	ZCAh2	DSS	ZCAh	0.34364864864864864
42	DSS2	ZCAh3	DSS	ZCAh	0.3906756756756757
43	DSS2	ZCAh4	DSS	ZCAh	0.34945945945945944
44	DSS2	ZCAh5	DSS	ZCAh	0.42064864864864865
45	DSS3	ZCAh1	DSS	ZCAh	0.4259189189189189
46	DSS3	ZCAh2	DSS	ZCAh	0.4247297297297297
47	DSS3	ZCAh3	DSS	ZCAh	0.4304054054054054
48	DSS3	ZCAh4	DSS	ZCAh	0.37432432432432433
49	DSS3	ZCAh5	DSS	ZCAh	0.47435135135135137
50	DSS4	ZCAh1	DSS	ZCAh	0.4141081081081081
51	DSS4	ZCAh2	DSS	ZCAh	0.3516756756756757
52	DSS4	ZCAh3	DSS	ZCAh	0.4243243243243243
53	DSS4	ZCAh4	DSS	ZCAh	0.4377837837837838
54	DSS4	ZCAh5	DSS	ZCAh	0.42502702702702705
55	DSS5	ZCAh1	DSS	ZCAh	0.5482162162162162
56	DSS5	ZCAh2	DSS	ZCAh	0.4497837837837838
57	DSS5	ZCAh3	DSS	ZCAh	0.48262162162162164
58	DSS5	ZCAh4	DSS	ZCAh	0.5193513513513514
59	DSS5	ZCAh5	DSS	ZCAh	0.43575675675675674
60	DSS1	ZCAm1	DSS	ZCAm	0.486
61	DSS1	ZCAm2	DSS	ZCAm	0.35362162162162164
62	DSS1	ZCAm3	DSS	ZCAm	0.3657297297297297
63	DSS1	ZCAm4	DSS	ZCAm	0.3415135135135135
64	DSS1	ZCAm5	DSS	ZCAm	0.3647297297297297
65	DSS2	ZCAm1	DSS	ZCAm	0.45478378378378376
66	DSS2	ZCAm2	DSS	ZCAm	0.4089189189189189
67	DSS2	ZCAm3	DSS	ZCAm	0.3180810810810811
68	DSS2	ZCAm4	DSS	ZCAm	0.3339189189189189
69	DSS2	ZCAm5	DSS	ZCAm	0.37154054054054053
70	DSS3	ZCAm1	DSS	ZCAm	0.49916216216216214
71	DSS3	ZCAm2	DSS	ZCAm	0.39337837837837836
72	DSS3	ZCAm3	DSS	ZCAm	0.4269189189189189
73	DSS3	ZCAm4	DSS	ZCAm	0.38164864864864867
74	DSS3	ZCAm5	DSS	ZCAm	0.40456756756756757
75	DSS4	ZCAm1	DSS	ZCAm	0.5254594594594595
76	DSS4	ZCAm2	DSS	ZCAm	0.43143243243243246
77	DSS4	ZCAm3	DSS	ZCAm	0.40943243243243244
78	DSS4	ZCAm4	DSS	ZCAm	0.37854054054054054
79	DSS4	ZCAm5	DSS	ZCAm	0.3852162162162162
80	DSS5	ZCAm1	DSS	ZCAm	0.5502702702702703
81	DSS5	ZCAm2	DSS	ZCAm	0.5613783783783783
82	DSS5	ZCAm3	DSS	ZCAm	0.4781891891891892
83	DSS5	ZCAm4	DSS	ZCAm	0.5145945945945946
84	DSS5	ZCAm5	DSS	ZCAm	0.46356756756756756
85	DSS1	ZnCA1	DSS	ZnCA	0.3671621621621622
86	DSS1	ZnCA2	DSS	ZnCA	0.3477297297297297
87	DSS1	ZnCA3	DSS	ZnCA	0.314
88	DSS1	ZnCA4	DSS	ZnCA	0.3784324324324324
89	DSS1	ZnCA5	DSS	ZnCA	0.34383783783783783
90	DSS2	ZnCA1	DSS	ZnCA	0.36889189189189187
91	DSS2	ZnCA2	DSS	ZnCA	0.3104054054054054
92	DSS2	ZnCA3	DSS	ZnCA	0.37348648648648647
93	DSS2	ZnCA4	DSS	ZnCA	0.3342972972972973
94	DSS2	ZnCA5	DSS	ZnCA	0.3452972972972973
95	DSS3	ZnCA1	DSS	ZnCA	0.4396216216216216
96	DSS3	ZnCA2	DSS	ZnCA	0.3251891891891892
97	DSS3	ZnCA3	DSS	ZnCA	0.34843243243243244
98	DSS3	ZnCA4	DSS	ZnCA	0.3858378378378378
99	DSS3	ZnCA5	DSS	ZnCA	0.38064864864864867
100	DSS4	ZnCA1	DSS	ZnCA	0.40362162162162163
101	DSS4	ZnCA2	DSS	ZnCA	0.4127837837837838
102	DSS4	ZnCA3	DSS	ZnCA	0.39937837837837836
103	DSS4	ZnCA4	DSS	ZnCA	0.4127837837837838
104	DSS4	ZnCA5	DSS	ZnCA	0.396
105	DSS5	ZnCA1	DSS	ZnCA	0.40675675675675677
106	DSS5	ZnCA2	DSS	ZnCA	0.46213513513513516
107	DSS5	ZnCA3	DSS	ZnCA	0.5758648648648649
108	DSS5	ZnCA4	DSS	ZnCA	0.44413513513513514
109	DSS5	ZnCA5	DSS	ZnCA	0.44551351351351354
0	ZCAh2	ZCAh1	ZCAh	ZCAh	0.2686216216216216
1	ZCAh3	ZCAh1	ZCAh	ZCAh	0.2304054054054054
2	ZCAh3	ZCAh2	ZCAh	ZCAh	0.2516216216216216
3	ZCAh4	ZCAh1	ZCAh	ZCAh	0.22597297297297297
4	ZCAh4	ZCAh2	ZCAh	ZCAh	0.27294594594594596
5	ZCAh4	ZCAh3	ZCAh	ZCAh	0.25013513513513513
6	ZCAh5	ZCAh1	ZCAh	ZCAh	0.31854054054054054
7	ZCAh5	ZCAh2	ZCAh	ZCAh	0.25051351351351353
8	ZCAh5	ZCAh3	ZCAh	ZCAh	0.3255135135135135
