geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000114278	3.2	3.31	2.21	9.13	6.38	5.61	2.67	1.59	2.9
ENSMUSG00000035506	18.36	15.14	15.06	8.45	10.28	9.13	18.98	47.16	12.26
ENSMUSG00000021290	873.67	929.79	897.42	758.38	736.62	727.66	1150.43	1630	1144.75
ENSMUSG00000045062	0.2	0.35	0.22	1.48	0.74	0.79	0.36	0.92	0.33
ENSMUSG00000089712	6.23	5.62	5.14	1.17	2.98	1.72	1.12	1.19	1.2
ENSMUSG00000095571	15.76	20.83	3.26	95.62	25.06	35.16	78.71	59.33	48.7
ENSMUSG00000087138	11.53	7.24	8.58	5.05	4.34	2.72	4.43	5.01	3.34
ENSMUSG00000032269	6.11	7.41	4.91	18.47	9.72	11.9	7.77	6.55	7.13
ENSMUSG00000120900	19.5	39.35	28.7	12.84	10.61	7.52	23.24	6.21	20.13
ENSMUSG00000023176	1.61	1.22	1.53	3.86	11.45	2.95	3.38	0.17	3.03
ENSMUSG00000046223	17.5	7.81	7.64	33.74	29.44	41.4	32.61	18.76	37.78
ENSMUSG00000121501	2.76	1.7	1.81	6.47	5.11	10.9	5.42	4.56	4.69
ENSMUSG00000019194	10.89	7.25	8.35	23.92	20.81	16.05	12.45	17.56	12.76
ENSMUSG00000038751	8.97	4.43	7.98	23.56	47.66	28.29	15.77	10.2	14.71
ENSMUSG00000034785	37.32	45.79	40.04	8.33	38.32	11.85	11	23.76	17.38
ENSMUSG00000089929	5.61	5.41	5.81	45	26.23	45.26	44.99	29.01	21.49
ENSMUSG00000051669	1.13	0.8	2.06	3.52	3.48	2.32	1.75	2.06	1.74
ENSMUSG00000003206	1.03	1.27	0.62	4.44	4.52	3.43	4.74	3.91	2.16
ENSMUSG00000036437	7.09	10.83	9	8.61	4.44	3.53	3.42	2.15	1.98
ENSMUSG00000024669	0.56	0.13	0.96	3.45	2.76	3.13	3.33	1.83	1.46
ENSMUSG00000022650	1.76	0.56	0.54	82.55	109.2	299.36	437.49	1327.12	223.52
ENSMUSG00000020150	2.43	1.9	2.6	5.79	4.83	11.98	12.91	6.09	4.03
ENSMUSG00000093674	1192.16	1555.57	1735.23	1542.96	1108.09	1220.09	2600.54	3598.43	1714.33
ENSMUSG00000028497	2.94	2.84	3.54	7.62	5.61	6.6	6.25	8.06	3.75
ENSMUSG00000027513	93.37	68.04	91.74	17.24	51.62	24.55	28.46	54.13	50.21
ENSMUSG00000027134	10.23	11.17	5.72	25.18	16.7	11.25	12.22	24.98	13.98
ENSMUSG00000096464	20.6	5.52	11.85	99.58	24.52	44.8	332.02	3.13	82.29
ENSMUSG00000096596	17.47	25.03	22.04	99.12	76.96	77.3	59.57	37.55	59.96
ENSMUSG00000129906	10.39	9.17	5.33	7.98	2.67	3.1	10.79	19.73	11.85
ENSMUSG00000142402	5.85	3.55	6.73	1.14	1.89	0.43	1.77	0.81	2.52
ENSMUSG00000095332	5.38	5.42	4.24	3.14	6.24	4.36	1.39	1.47	3.16
ENSMUSG00000003153	3.04	2.38	1.66	9.17	5.28	5.99	3.1	3.63	3.59
ENSMUSG00000024677	6.3	7.46	4.93	34.84	27.58	44.11	34.71	17.17	15.88
ENSMUSG00000040209	14.29	12.2	12.39	6.07	7.48	4.98	4.5	4.93	7.12
ENSMUSG00000005364	0.17	0.24	0.14	7.57	3.04	4.86	2.17	0.53	0.75
ENSMUSG00000073400	0.04	0	0.08	2.04	4.15	6.99	0.77	0	0.4
ENSMUSG00000041119	228.49	166.55	143.17	602.8	750.67	558.56	331.44	127.25	419.03
ENSMUSG00000009633	3.86	6.91	5.55	21.59	8.85	9.93	9.35	11.57	7.1
ENSMUSG00000094088	84.63	62.93	48.19	44.31	208.88	346.12	136.62	155.11	183.27
ENSMUSG00000042759	2.72	2.17	2.02	17.26	10.48	10.5	7.6	6.85	4.24
ENSMUSG00000026579	0.23	0.17	0.11	2.63	0.37	2.02	0.59	0.74	0.33
ENSMUSG00000035105	31.85	41.15	68.65	83.6	152.13	77.44	34.62	25.99	28.13
ENSMUSG00000044134	42.49	24.17	30.39	13.57	23.76	12.48	14.63	26.23	21.67
ENSMUSG00000129346	42.52	34.83	27.28	96.87	164.56	181.19	92.59	34.66	111.69
ENSMUSG00000032028	81.5	106.21	66.13	3.99	2.45	3.14	16.59	22.11	18.9
ENSMUSG00000027068	1.62	0.68	0.47	24.91	30.28	30.41	13.71	9.53	13.33
ENSMUSG00000017002	10.53	11.19	23.63	444.08	532.04	382.3	241.82	43.57	229.8
ENSMUSG00000069893	2.17	1.89	1.43	4.14	3.71	6.56	3.37	1.07	2.67
ENSMUSG00000037731	4.39	2.88	2.38	15.96	14.39	24.53	13.81	7.94	7.44
ENSMUSG00000027173	0.43	0.37	0.2	1.85	2.07	1.98	0.54	3.25	1.29
